glycan_ID,residue,residue_ID,name,anomer,absolute,ring,parent_ID,site,form_name
G00551JZ,unassigned,14,GlcNAc,x,D,p,10,x,GlcpNAc,14,
G00551JZ,unassigned,15,Gal,x,D,p,14,x,Galp,15,
G00551JZ,unassigned,6,Man,a,D,p,NC,x,Manp,6,
G00551JZ,unassigned,17,Fuc,x,L,p,NA,6,Fucp,17,
G00551JZ,unassigned,7,GlcNAc,x,D,p,6,x,GlcpNAc,7,
G00551JZ,unassigned,8,Gal,x,D,p,7,x,Galp,8,
G00551JZ,unassigned,10,Man,a,D,p,NC,x,Manp,10,
G00553AN,unassigned,11,NeuNAc,x,D,p,10,x,NeupNAc,11,
G00553AN,unassigned,14,GlcNAc,x,D,p,x,x,GlcpNAc,14,
G00553AN,unassigned,15,Gal,x,D,p,14,x,Galp,15,
G00553AN,unassigned,16,NeuNAc,x,D,p,15,x,NeupNAc,16,
G00553AN,unassigned,19,GlcNAc,x,D,p,x,x,GlcpNAc,19,
G00553AN,unassigned,9,GlcNAc,x,D,p,x,x,GlcpNAc,9,
G00553AN,unassigned,20,Gal,x,D,p,19,x,Galp,20,
G00553AN,unassigned,10,Gal,x,D,p,9,x,Galp,10,
G00565QJ,unassigned,10,GlcNAc,x,D,p,N4,x,GlcpNAc,10,
G00569WM,unassigned,8,Gal,b,D,p,O578,3,Galp,8,
G00569WM,unassigned,9,GlcNAc,b,D,p,8,3,GlcpNAc,9,
G00588HO,unassigned,11,Glc,a,x,x,10,2,Glc,11,
G00588HO,unassigned,9,Glc,a,x,x,N22,3,Glc,9,
G00588HO,unassigned,10,Glc,a,x,x,9,3,Glc,10,
G00594AV,unassigned,11,Gal,x,D,p,10,x,Galp,11,
G00594AV,unassigned,22,Fuc,x,L,p,NA,6,Fucp,22,
G00594AV,unassigned,33,Gal,x,D,p,32,x,Galp,33,
G00594AV,unassigned,23,GlcNAc,x,D,p,x,x,GlcpNAc,23,
G00594AV,unassigned,13,GlcNAc,x,D,p,NC,4,GlcpNAc,13,
G00594AV,unassigned,24,Gal,x,D,p,23,x,Galp,24,
G00594AV,unassigned,26,GlcNAc,x,D,p,x,x,GlcpNAc,26,
G00594AV,unassigned,16,GlcNAc,x,D,p,N4,x,GlcpNAc,16,
G00594AV,unassigned,27,Gal,x,D,p,26,x,Galp,27,
G00594AV,unassigned,17,Gal,x,D,p,16,x,Galp,17,
G00594AV,unassigned,29,GlcNAc,x,D,p,x,x,GlcpNAc,29,
G00594AV,unassigned,19,GlcNAc,x,D,p,N4,x,GlcpNAc,19,
G00594AV,unassigned,7,GlcNAc,x,D,p,N1,x,GlcpNAc,7,
G00594AV,unassigned,8,Gal,x,D,p,7,x,Galp,8,
G00594AV,unassigned,30,Gal,x,D,p,29,x,Galp,30,
G00594AV,unassigned,20,Gal,x,D,p,19,x,Galp,20,
G00594AV,unassigned,10,GlcNAc,x,D,p,N1,x,GlcpNAc,10,
G00594AV,unassigned,32,GlcNAc,x,D,p,x,x,GlcpNAc,32,
G00598SQ,unassigned,16,NeuNAc,x,D,p,x,x,NeupNAc,16,
G00598SQ,unassigned,18,NeuNAc,x,D,p,x,x,NeupNAc,18,
G00629YK,unassigned,10,Man,a,D,p,x,x,Manp,10,
G00641XC,unassigned,3,GlcNAc,x,D,p,OC,x,GlcpNAc,3,
G00641XC,unassigned,4,sulfate,n,n,n,3,6,sulfate,4,
G00641XC,unassigned,6,Gal,x,D,p,3,x,Galp,6,
G00641XC,unassigned,7,NeuNAc,x,D,p,6,x,NeupNAc,7,
G00644ZZ,unassigned,11,Man,a,D,p,NC,3|6,Manp,11,
G00644ZZ,unassigned,12,Man,a,D,p,11,2,Manp,12,
G00644ZZ,unassigned,13,Man,x,D,p,12,x,Manp,13,
G00644ZZ,unassigned,14,Glc,x,D,p,13,x,Glcp,14,
G00644ZZ,unassigned,6,Man,a,D,p,NC,3|6,Manp,6,
G00644ZZ,unassigned,7,Man,a,D,p,6,3,Manp,7,
G00644ZZ,unassigned,8,Man,x,D,p,7,x,Manp,8,
G00644ZZ,unassigned,9,Man,a,D,p,6,6,Manp,9,
G00644ZZ,unassigned,10,Man,x,D,p,9,x,Manp,10,
G00650AC,unassigned,11,Gal,b,D,p,10,4,Galp,11,
G00650AC,unassigned,12,Man,a,D,p,NC,x,Manp,12,
G00650AC,unassigned,13,GlcNAc,b,D,p,12,2,GlcpNAc,13,
G00650AC,unassigned,15,Gal,b,D,p,13,4,Galp,15,
G00650AC,unassigned,6,Man,a,D,p,NC,x,Manp,6,
